best_smiles,reward,gap_reward,sim_reward
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(Br)c(Cl)cc4C3=C(C#N)C#N)cc2)n(C)c2c3ncc4c5cnc6c7c(c(C)c(-c8ccc(C=CC=CC=C9C(=O)c%10cc(Br)c(Cl)cc%10C9=C(C#N)C#N)cc8)n7C)n(C)c6c5c5nonc5c4c3n(C)c12,-5.499040339992972,2.283250866308762,0.4947368421052631
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc5sc(Br)cc5cc4C3=C(C#N)C#N)c3nsnc23)oc2c3sc4c5sc6c7oc(-c8ccc(C=CC=CC=C9C(=O)c%10cc%11sc(Br)cc%11cc%10C9=C(C#N)C#N)c9nsnc89)c(C)c7n(C)c6c5c5nn(C)nc5c4c3n(C)c12,-5.351836246976401,1.838322733462887,0.5405405405405406
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5cc(Br)c(Br)cc5C4=C(C#N)C#N)[nH]3)[nH]2)ncc2c1ccc1c2ccc2c3ccc4c5cnc(-c6ccc(-c7ccc(C=C8C(=O)c9cc(Br)c(Br)cc9C8=C(C#N)C#N)[nH]7)[nH]6)c(C)c5ccc4c3c(F)c(F)c12,-5.246667179067254,2.5064711006358813,0.4215686274509804
Cc1nc2c(nc1C)c1c(oc3c1sc1c(C)c(C=CC=CC=CC=CC=C4C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)n(C)c13)c1oc3c(sc4c(C)c(C=CC=CC=CC=CC=C5C(=O)c6cc(Cl)c(Cl)cc6C5=C(C#N)C#N)n(C)c43)c21,-5.461491909892379,1.5924442908447594,0.5952380952380952
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4c(Cl)cc(Br)cc4C3=C(C#N)C#N)[nH]2)oc2c1oc1c2oc2c3oc4c5oc(C=CC=Cc6ccc(C=C7C(=O)c8c(Cl)cc(Br)cc8C7=C(C#N)C#N)[nH]6)c(C)c5oc4c3c3ccccc3c12,-5.3500075515749135,2.100007551574914,0.5
Cc1c(C=CC=Cc2ccc(C=C3C(=O)c4cc(C(F)(F)F)ccc4C3=C(C#N)C#N)c3nsnc23)sc2c1sc1c3c4nn(C)nc4c4c5sc6c(C)c(C=CC=Cc7ccc(C=C8C(=O)c9cc(C(F)(F)F)ccc9C8=C(C#N)C#N)c8nsnc78)sc6c5n(C)c4c3n(C)c21,-5.341488646789397,1.8569525643151708,0.5360824742268041
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cc(C(F)(F)F)ccc4C3=C(C#N)C#N)[nH]2)n(C)c2c1n(C)c1c3c4ccccc4c4c5c(c6c(c(C)c(-c7ccc(C=CC=CC=C8C(=O)c9cc(C(F)(F)F)ccc9C8=C(C#N)C#N)[nH]7)n6C)n5C)n(C)c4c3n(C)c21,-5.18057129651255,1.6091427250839785,0.5494505494505495
Cc1c(-c2ccc(-c3ccc(C=C4C(=O)c5c(ccc(Br)c5Cl)C4=C(C#N)C#N)s3)c3nsnc23)n(C)c2c1oc1c2sc2c3sc4c(oc5c(C)c(-c6ccc(-c7ccc(C=C8C(=O)c9c(ccc(Br)c9Cl)C8=C(C#N)C#N)s7)c7nsnc67)n(C)c54)c3c3nonc3c12,-5.427474355039408,2.0420576883727404,0.5208333333333334
Cc1c(-c2ccc(C=CC=CC=C3C(=O)c4cscc4C3=C(C#N)C#N)[nH]2)oc2c1oc1c2ccc2c3ccc4c5oc(-c6ccc(C=CC=CC=C7C(=O)c8cscc8C7=C(C#N)C#N)[nH]6)c(C)c5oc4c3c3ccccc3c21,-5.428251301371178,1.9226333238430888,0.5393258426966292
Cc1nc2c(nc1C)c1c3c(c4sc(C=CC=CC=CC=CC=C5C(=O)c6cc7sc(Br)cc7cc6C5=C(C#N)C#N)c(C)c4n3C)n(C)c1c1c2c2c(c3sc(C=CC=CC=CC=CC=C4C(=O)c5cc6sc(Br)cc6cc5C4=C(C#N)C#N)c(C)c3n2C)n1C,-5.4243456005887065,1.5834365096796157,0.5909090909090909
